Shop_Name,Image_URL,Status,Address,Latitude,Longitude,Opens,Closes,Phone,Comments,Product_1,Price_1,Product_2,Price_2,Rating
Verma Clothing Shop 1,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Scraped,"35 Arya Nagar, Kanpur",26.4228,80.3546,10:00 AM,8:00 PM,9402044073,Good service,Saree,1500,T-shirt,500,4.5
Singh Salon Shop 2,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Registered,"98 Mall Road, Kanpur",26.4716,80.3236,11:00 AM,7:00 PM,9733080171,Good service,Facial,500,Haircut,200,4
Mishra Grocery Shop 3,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Scraped,"6 Arya Nagar, Kanpur",26.4679,80.3342,9:00 AM,9:00 PM,9108594508,Good service,Milk (1L),50,Rice (10kg),500,4.8
Mishra Clothing Shop 4,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Registered,"148 M.G. Road, Kanpur",26.4607,80.3475,11:00 AM,8:00 PM,9566999491,Good service,Women's Kurti,800,Men's Jeans,1200,3.9
Yadav Restaurant Shop 5,https://via.placeholder.com/150,Scraped,"193 M.G. Road, Kanpur",26.4478,80.339,9:00 AM,10:00 PM,9457237231,Affordable prices,Paneer Butter Masala,250,Chicken Biryani,300,4.8
Pandey Electronics Shop 6,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Scraped,"90 Civil Lines, Kanpur",26.4855,80.35,10:00 AM,8:00 PM,9961174267,Affordable prices,Smartphone,20000,LED TV,15000,4.6
Gupta Stationery Shop 7,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Registered,"121 Civil Lines, Kanpur",26.4583,80.326,9:00 AM,9:00 PM,9317262178,Good service,Pencil Box,100,Pen,20,4.7
Sharma Grocery Shop 8,https://via.placeholder.com/150,Registered,"21 M.G. Road, Kanpur",26.4592,80.3134,10:00 AM,9:00 PM,9644544282,Affordable prices,Cooking Oil (1L),150,Rice (10kg),500,4.7
Sharma Grocery Shop 9,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Scraped,"16 Civil Lines, Kanpur",26.436,80.3409,8:00 AM,7:00 PM,9976240253,Customer friendly,Wheat (10kg),400,Cooking Oil (1L),150,4.7
Gupta Restaurant Shop 10,https://via.placeholder.com/150,Scraped,"159 Arya Nagar, Kanpur",26.4192,80.3801,8:00 AM,7:00 PM,9642492698,Good service,Thali,150,Chicken Biryani,300,4.7
Verma Clothing Shop 11,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Scraped,"189 Civil Lines, Kanpur",26.4526,80.3812,9:00 AM,9:00 PM,9433518532,Good service,Men's Jeans,1200,Saree,1500,4.1
Pandey Stationery Shop 12,https://via.placeholder.com/150,Registered,"40 Kidwai Nagar, Kanpur",26.4672,80.3381,11:00 AM,10:00 PM,9269630816,Customer friendly,Pencil Box,100,Pen,20,4.7
Sharma Restaurant Shop 13,https://via.placeholder.com/150,Registered,"37 Kakadeo, Kanpur",26.4775,80.3863,8:00 AM,7:00 PM,9806396196,Affordable prices,Chicken Biryani,300,Paneer Butter Masala,250,4.7
